Rank,Puzzles,AMT (s),Solved rate,1-sigma Mean (s),1-sigma STD (s),difficulty
372,1 1 4 9,6.88,93.4,7.08,2.33,medium
663,1 5 5 13,8.15,93.3,8.37,3.21,medium
627,2 2 3 3,7.96,93.3,8.29,3.26,medium
1003,2 4 6 8,11.33,93.3,11.77,4.44,medium
140,3 6 7 7,5.88,93.3,6.24,2.33,medium
684,3 4 7 10,8.3,93.3,8.54,3.42,medium
215,10 10 11 12,6.17,93.3,6.53,2.29,medium
622,4 6 8 9,7.92,93.3,8.35,3.38,medium
834,3 4 6 12,9.34,93.3,9.85,3.99,medium
825,1 2 7 9,9.26,93.3,9.74,3.81,medium
386,1 8 8 11,6.92,93.3,7.39,3.42,medium
340,3 3 12 13,6.74,93.3,7.19,2.64,medium
224,1 2 2 8,6.22,93.3,6.65,2.63,medium
564,2 6 8 11,7.64,93.3,8.07,3.38,medium
727,1 2 9 13,8.57,93.3,9.21,4.17,medium
503,6 8 13 13,7.35,93.3,7.82,3.08,medium
724,4 5 8 12,8.54,93.3,9.08,3.71,medium
705,1 4 9 10,8.42,93.2,8.85,3.63,medium
329,2 2 5 5,6.69,93.2,7.07,2.49,medium
604,3 4 12 13,7.86,93.2,8.45,3.71,medium
586,1 3 5 11,7.76,93.2,8.11,2.86,medium
206,10 13 13 13,6.14,93.2,6.58,2.78,medium
538,4 4 7 9,7.5,93.2,7.9,3.39,medium
578,2 6 8 10,7.72,93.2,8.22,3.44,medium
326,4 4 5 5,6.68,93.2,7.11,2.52,medium
831,2 3 3 9,9.31,93.2,9.71,3.76,medium
820,2 3 8 12,9.23,93.2,9.73,3.79,medium
789,1 3 5 10,8.97,93.2,9.46,3.7,medium
367,1 3 4 4,6.87,93.1,7.15,3.02,medium
417,5 5 6 6,7.01,93.1,7.48,2.79,medium
908,2 3 6 9,10.1,93.1,10.54,4.14,medium
632,1 3 6 9,7.99,93.1,8.49,3.2,medium
801,1 5 9 11,9.02,93.1,9.53,3.93,medium
616,3 4 7 9,7.9,93.1,8.33,3.73,medium
409,1 6 8 8,6.99,93.0,7.31,2.92,medium
777,2 5 8 13,8.87,93.0,9.39,3.91,medium
470,3 9 10 11,7.23,93.0,7.61,2.93,medium
570,3 6 12 12,7.69,93.0,8.24,3.48,medium
747,4 8 9 11,8.68,93.0,9.16,3.89,medium
709,1 3 4 10,8.45,92.9,8.73,3.35,medium
425,4 8 11 12,7.04,92.9,7.64,3.18,medium
547,3 6 10 12,7.54,92.9,8.05,3.43,medium
268,10 10 10 13,6.43,92.9,6.86,2.99,medium
464,5 9 10 10,7.19,92.8,7.58,3.05,medium
818,2 8 8 10,9.22,92.8,9.44,3.77,medium
301,2 8 8 13,6.57,92.8,6.94,2.55,medium
614,3 6 7 9,7.89,92.8,8.34,3.48,medium
312,4 6 11 12,6.6,92.8,6.98,2.9,medium
927,3 6 9 12,10.27,92.7,10.72,4.16,medium
669,2 4 8 11,8.17,92.7,8.49,3.62,medium
853,2 3 8 11,9.53,92.7,10.12,4.06,medium
512,3 6 8 8,7.4,92.7,7.74,2.98,medium
550,2 7 8 8,7.57,92.6,7.97,3.08,medium
488,1 8 9 11,7.3,92.6,7.63,3.1,medium
415,1 7 8 11,7.01,92.6,7.4,3.08,medium
281,1 9 12 12,6.5,92.6,6.86,2.82,medium
585,6 6 9 12,7.75,92.6,8.12,3.31,medium
426,1 7 10 12,7.05,92.6,7.46,2.96,medium
619,8 10 13 13,7.91,92.5,8.29,3.33,medium
744,2 4 7 11,8.66,92.5,8.98,3.79,medium
851,2 6 8 8,9.51,92.5,9.87,4.08,medium
778,3 5 6 9,8.88,92.5,9.31,3.67,medium
645,2 3 4 8,8.07,92.5,8.78,4.01,medium
628,1 4 6 11,7.97,92.5,8.28,3.23,medium
533,5 10 13 13,7.48,92.5,7.93,2.78,medium
808,2 5 8 9,9.1,92.5,9.42,3.73,medium
664,3 6 9 10,8.15,92.4,8.48,3.56,medium
420,1 8 8 10,7.02,92.4,7.36,2.99,medium
633,3 4 10 12,8.0,92.4,8.38,3.5,medium
448,4 7 12 13,7.13,92.4,7.74,3.4,medium
621,3 12 12 13,7.92,92.4,8.3,3.26,medium
571,1 2 9 12,7.7,92.4,8.32,3.81,medium
626,5 8 8 13,7.95,92.4,8.33,3.65,medium
476,5 5 7 8,7.26,92.4,7.71,2.94,medium
200,2 2 11 12,6.11,92.3,6.5,2.56,medium
180,1 10 10 12,6.03,92.3,6.24,2.1,medium
643,4 8 8 9,8.06,92.3,8.3,3.05,medium
638,2 5 6 7,8.02,92.3,8.49,3.62,medium
828,5 8 9 12,9.29,92.3,9.72,3.87,medium
757,2 5 7 10,8.75,92.2,9.15,3.72,medium
810,2 3 6 10,9.11,92.2,9.33,3.75,medium
443,10 10 12 13,7.11,92.2,7.43,2.6,medium
666,3 5 6 6,8.16,92.2,8.67,3.6,medium
703,3 3 7 11,8.41,92.2,8.7,3.56,medium
379,3 3 3 7,6.9,92.2,7.32,3.12,medium
232,1 3 8 9,6.27,92.2,6.82,3.18,medium
500,5 6 8 8,7.34,92.2,7.69,2.92,medium
429,8 8 12 13,7.05,92.1,7.35,2.65,medium
832,3 3 4 9,9.34,92.1,9.67,3.77,medium
699,2 3 3 7,8.4,92.1,8.85,3.69,medium
402,2 2 12 13,6.97,92.1,7.25,2.6,medium
779,7 8 10 13,8.89,92.1,9.4,4.08,medium
693,4 7 8 9,8.37,92.1,8.77,3.69,medium
639,3 5 8 8,8.02,92.1,8.48,3.85,medium
286,2 2 2 11,6.51,92.1,6.79,2.66,medium
760,2 3 5 9,8.79,92.0,9.31,4.31,medium
309,4 4 12 13,6.59,92.0,6.95,2.49,medium
635,4 10 12 12,8.0,92.0,8.42,3.34,medium
971,4 4 8 12,10.87,92.0,11.49,4.93,medium
296,1 5 10 12,6.55,92.0,6.96,3.07,medium
601,1 4 4 10,7.85,92.0,8.06,3.4,medium
375,2 5 5 13,6.89,92.0,7.28,2.71,medium
428,2 6 7 12,7.05,92.0,7.2,2.91,medium
554,9 11 13 13,7.6,92.0,8.11,3.19,medium
113,4 4 11 12,5.71,91.9,6.06,2.35,medium
441,1 5 6 9,7.11,91.9,7.56,3.43,medium
536,3 7 9 10,7.49,91.9,8.06,3.46,medium
590,1 2 4 11,7.8,91.9,8.06,2.8,medium
277,2 3 11 13,6.48,91.9,6.91,2.78,medium
954,2 3 6 6,10.65,91.9,11.04,4.36,medium
869,2 3 4 10,9.72,91.9,10.1,4.16,medium
673,1 3 6 13,8.2,91.8,8.44,3.17,medium
731,2 4 6 9,8.58,91.8,9.06,4.19,medium
844,1 6 9 10,9.46,91.8,9.7,3.71,medium
879,1 2 5 10,9.83,91.7,10.06,3.98,medium
532,4 8 12 13,7.48,91.7,8.18,3.7,medium
704,3 3 8 12,8.41,91.7,8.97,3.88,medium
461,5 6 11 13,7.18,91.7,7.75,3.37,medium
949,1 2 3 13,10.59,91.7,10.95,4.79,medium
750,2 3 7 11,8.7,91.7,9.09,4.21,medium
697,1 2 2 7,8.39,91.7,8.72,3.35,medium
793,2 2 3 6,8.99,91.6,9.28,4.01,medium
612,6 7 8 10,7.88,91.6,8.4,3.57,medium
453,3 8 8 12,7.15,91.5,7.62,3.1,medium
598,2 2 9 11,7.84,91.5,8.16,3.28,medium
676,2 2 4 11,8.24,91.5,8.59,3.66,medium
759,6 8 12 12,8.77,91.5,9.48,4.23,medium
649,2 7 11 12,8.08,91.5,8.43,3.4,medium
587,1 5 6 10,7.76,91.5,8.1,3.24,medium
473,1 8 11 12,7.25,91.5,7.77,3.41,medium
711,5 6 10 13,8.45,91.5,9.12,4.24,medium
230,3 11 11 12,6.24,91.4,6.44,2.17,medium
506,1 8 9 13,7.38,91.4,7.84,3.51,medium
620,2 5 6 13,7.92,91.4,8.41,3.61,medium
938,2 2 8 8,10.38,91.4,10.72,4.71,medium
487,5 8 8 10,7.29,91.4,7.77,3.37,medium
842,6 6 6 8,9.44,91.4,9.75,4.17,medium
761,4 4 8 10,8.8,91.4,9.13,4.36,medium
877,6 9 10 11,9.8,91.4,10.13,4.08,medium
861,3 5 9 13,9.57,91.3,9.91,4.01,medium
912,1 2 8 13,10.13,91.3,10.43,4.73,medium
716,1 11 13 13,8.49,91.3,8.83,3.74,medium
796,4 5 5 9,8.99,91.3,9.32,3.88,medium
700,2 4 7 10,8.4,91.2,8.67,3.82,medium
776,1 4 5 10,8.86,91.2,9.01,3.61,medium
238,1 4 12 12,6.29,91.2,6.53,2.49,medium
607,3 7 12 12,7.87,91.2,8.23,3.41,medium
346,4 5 7 7,6.77,91.2,7.37,3.44,medium
755,4 11 12 13,8.74,91.2,9.18,3.87,medium
204,2 13 13 13,6.14,91.1,6.32,2.32,medium
728,2 2 4 13,8.57,91.1,9.09,4.16,medium
764,3 4 4 5,8.83,91.1,9.13,3.95,medium
514,4 4 4 7,7.4,91.1,7.76,3.31,medium
332,1 1 6 12,6.7,91.1,7.36,3.37,medium
830,4 5 10 13,9.3,91.1,9.74,4.38,medium
387,4 5 10 10,6.92,91.0,7.24,3.04,medium
271,3 7 9 9,6.44,91.0,6.87,2.78,medium
1058,2 3 6 12,12.28,91.0,12.71,5.2,medium
988,2 4 5 6,11.11,91.0,11.61,4.46,medium
273,3 12 13 13,6.46,91.0,6.62,2.29,medium
668,6 8 8 10,8.16,91.0,8.62,4.02,medium
582,3 4 4 9,7.73,90.9,8.24,3.29,medium
606,3 12 12 12,7.86,90.9,8.17,3.42,medium
395,1 2 7 10,6.95,90.9,7.71,4.0,medium
888,5 7 9 13,9.94,90.9,10.39,4.07,medium
770,2 3 4 13,8.85,90.9,9.19,3.9,medium
338,9 9 10 13,6.73,90.9,6.9,2.68,medium
799,5 5 6 7,9.0,90.8,9.44,4.03,medium
712,3 11 12 12,8.46,90.8,8.71,3.28,medium
782,1 2 4 9,8.93,90.8,9.28,3.92,medium
855,6 6 8 12,9.53,90.8,9.88,4.21,medium
682,5 6 9 10,8.28,90.8,8.74,3.78,medium
685,6 6 7 9,8.3,90.7,8.63,3.71,medium
581,8 9 11 13,7.72,90.7,8.16,3.68,medium
854,4 7 8 13,9.53,90.7,9.97,4.28,medium
561,3 9 12 12,7.63,90.7,8.2,3.48,medium
957,3 4 6 8,10.69,90.7,11.2,5.02,medium
413,5 6 9 9,7.0,90.6,7.27,2.74,medium
701,2 9 12 13,8.4,90.6,8.82,3.86,medium
653,4 5 9 10,8.1,90.6,8.47,3.64,medium
577,1 6 9 13,7.72,90.6,8.12,3.96,medium
218,8 8 11 12,6.19,90.6,6.54,2.66,medium
660,4 4 10 12,8.13,90.6,8.54,3.93,medium
909,1 3 5 9,10.11,90.6,10.39,4.46,medium
698,1 2 6 13,8.4,90.6,8.88,3.9,medium
456,3 7 11 12,7.16,90.6,7.7,3.49,medium
656,1 4 5 11,8.12,90.6,8.37,3.88,medium
872,3 3 7 9,9.74,90.6,9.91,3.75,medium
634,3 7 10 11,8.0,90.5,8.27,3.37,medium
574,4 7 9 10,7.7,90.5,8.19,3.66,medium
981,3 4 6 6,11.01,90.5,11.26,4.63,medium
850,2 2 4 9,9.51,90.5,9.84,4.3,medium
751,2 8 9 11,8.7,90.5,9.1,3.77,medium
211,1 5 5 12,6.16,90.5,6.36,2.32,medium
786,2 3 9 9,8.96,90.5,9.32,3.95,medium
557,3 4 4 12,7.61,90.4,7.91,3.28,medium
250,8 8 8 10,6.35,90.4,6.7,2.91,medium
963,1 3 8 13,10.73,90.4,11.06,5.02,medium
568,4 8 10 11,7.67,90.4,7.98,3.45,medium
399,8 8 10 13,6.96,90.4,7.35,3.05,medium
248,4 8 9 9,6.33,90.4,6.49,2.28,medium
775,1 2 4 5,8.86,90.4,9.27,4.21,medium
723,4 5 6 7,8.54,90.3,8.94,3.82,medium
480,5 10 11 11,7.27,90.3,7.48,2.76,medium
867,1 5 6 13,9.7,90.3,10.08,4.65,medium
618,5 6 10 11,7.91,90.3,8.22,3.54,medium
475,1 6 6 9,7.26,90.3,7.7,3.26,medium
901,4 5 6 10,10.02,90.3,10.49,4.36,medium
457,4 5 11 13,7.17,90.3,7.59,3.29,medium
458,6 6 12 13,7.17,90.3,7.56,3.04,medium
678,3 4 5 10,8.26,90.3,8.62,3.99,medium
696,6 6 8 9,8.38,90.3,8.64,3.44,medium
524,3 4 4 7,7.45,90.3,7.87,3.37,medium
846,3 8 9 12,9.46,90.2,9.87,4.4,medium
710,2 9 10 13,8.45,90.2,9.07,4.07,medium
781,3 9 10 12,8.92,90.2,9.17,3.63,medium
1002,2 4 4 6,11.32,90.2,11.66,4.67,medium
847,2 3 6 11,9.47,90.2,9.82,4.38,medium
641,2 8 8 9,8.05,90.2,8.35,3.34,medium
816,3 3 6 11,9.21,90.2,9.66,4.44,medium
579,3 3 4 7,7.72,90.2,8.18,3.48,medium
195,2 8 13 13,6.09,90.2,6.39,2.56,medium
931,2 4 6 7,10.31,90.1,10.42,4.27,medium
401,2 2 10 13,6.97,90.1,7.23,3.03,medium
659,2 8 9 13,8.12,90.1,8.37,3.57,medium
624,7 8 11 13,7.93,90.1,8.48,3.85,medium
748,6 6 8 10,8.68,90.1,8.9,3.96,medium
836,3 9 11 12,9.35,90.1,9.79,4.37,medium
541,6 7 11 13,7.51,90.1,7.89,3.44,medium
483,10 12 12 13,7.28,90.1,7.74,3.54,medium
811,1 3 5 7,9.13,90.0,9.38,4.02,medium
805,1 5 6 8,9.1,90.0,9.15,3.84,medium
196,2 11 11 11,6.09,90.0,6.21,2.47,medium
765,3 5 9 12,8.83,90.0,9.14,4.01,medium
737,2 4 9 9,8.6,90.0,8.71,3.82,medium
959,2 3 6 13,10.71,90.0,10.81,4.54,medium
725,3 6 7 12,8.55,90.0,8.81,3.76,medium
534,2 10 10 13,7.49,90.0,7.63,2.85,medium
948,2 3 9 10,10.55,90.0,10.75,4.18,medium
756,1 2 6 11,8.75,90.0,9.19,4.25,medium
856,5 6 8 9,9.54,89.9,9.82,4.35,medium
677,5 8 9 11,8.24,89.9,8.49,3.67,medium
871,4 9 9 10,9.73,89.9,9.98,4.04,medium
527,3 5 5 7,7.47,89.9,7.71,3.14,medium
319,3 7 7 12,6.63,89.9,6.78,2.56,medium
833,3 4 6 10,9.34,89.8,9.84,4.72,medium
790,2 11 12 13,8.97,89.8,9.34,3.94,medium
661,3 4 9 11,8.14,89.8,8.4,4.03,medium
424,8 8 9 11,7.03,89.7,7.57,3.69,medium
411,5 5 10 13,6.99,89.7,7.34,3.26,medium
560,2 6 11 13,7.63,89.7,7.78,3.26,medium
914,1 4 4 8,10.15,89.7,10.37,5.43,medium
629,3 9 12 13,7.97,89.7,8.44,3.93,medium
566,1 9 11 11,7.65,89.7,7.79,3.02,medium
769,9 10 11 13,8.84,89.7,9.09,3.8,medium
1060,2 4 4 10,12.28,89.6,12.37,5.14,medium
1013,1 3 4 8,11.45,89.6,11.57,4.61,medium
583,3 5 8 11,7.75,89.6,8.05,3.47,medium
671,5 5 8 9,8.19,89.6,8.64,3.88,medium
745,2 6 7 8,8.66,89.6,8.97,3.88,medium
509,6 6 6 9,7.38,89.6,7.97,3.92,medium
783,1 3 3 10,8.94,89.6,9.04,4.1,medium
347,7 7 10 13,6.77,89.6,7.06,3.11,medium
718,2 10 11 13,8.5,89.5,8.58,3.43,medium
841,5 9 9 11,9.44,89.5,9.64,3.84,medium
788,6 6 6 12,8.96,89.5,9.18,4.48,medium
795,3 5 6 7,8.99,89.5,9.04,3.8,medium
868,3 8 8 11,9.71,89.5,9.88,4.57,medium
400,1 1 8 8,6.97,89.5,7.42,3.71,medium
535,3 3 5 5,7.49,89.4,7.73,3.16,medium
518,3 3 10 13,7.42,89.4,7.7,3.46,medium
837,2 4 4 7,9.37,89.4,9.55,4.27,medium
694,1 6 12 13,8.38,89.4,8.45,3.24,medium
556,2 8 12 13,7.61,89.4,7.86,3.55,medium
859,4 9 12 12,9.56,89.4,10.06,4.28,medium
771,3 10 11 12,8.85,89.4,9.04,3.71,medium
695,4 4 7 12,8.38,89.4,8.75,4.13,medium
471,1 3 7 8,7.24,89.3,7.43,3.48,medium
735,4 5 9 13,8.59,89.3,9.33,4.75,medium
489,2 3 3 11,7.3,89.3,7.55,3.23,medium
741,2 9 11 11,8.63,89.3,9.08,4.03,medium
1047,1 5 8 11,12.07,89.2,12.42,5.56,medium
374,6 9 12 12,6.88,89.1,7.44,3.67,medium
431,3 5 5 6,7.06,89.1,7.29,3.09,medium
902,1 2 4 7,10.03,89.1,10.3,4.82,medium
890,4 9 11 12,9.96,89.0,10.16,4.25,medium
491,3 5 5 12,7.3,89.0,7.62,3.32,medium
1033,1 4 8 9,11.73,89.0,11.9,5.07,medium
835,3 7 7 10,9.34,89.0,9.62,4.27,medium
892,2 6 12 12,9.97,89.0,10.49,5.13,medium
813,5 7 8 9,9.18,88.9,9.48,4.21,medium
608,4 5 8 9,7.87,88.9,8.25,3.97,medium
791,2 2 5 7,8.98,88.9,9.03,3.68,medium
773,5 6 6 10,8.85,88.9,9.06,3.86,medium
916,3 4 6 11,10.16,88.9,10.38,4.56,medium
1021,2 3 5 7,11.58,88.9,11.67,4.97,medium
752,2 4 10 13,8.71,88.9,9.07,4.43,medium
207,1 7 7 12,6.15,88.9,6.28,2.32,medium
274,6 6 11 12,6.46,88.9,6.77,2.97,medium
702,6 6 9 11,8.4,88.8,8.82,3.98,medium
904,3 4 4 13,10.03,88.8,10.08,4.15,medium
894,6 10 12 12,9.98,88.8,10.25,4.61,medium
361,4 7 7 7,6.83,88.8,7.02,3.01,medium
617,4 8 9 10,7.9,88.8,8.1,3.33,medium
667,5 8 11 13,8.16,88.8,8.32,3.37,medium
680,1 6 11 12,8.28,88.8,8.26,2.97,medium
665,2 8 9 10,8.16,88.8,8.35,3.78,medium
452,6 6 6 11,7.14,88.7,7.39,3.41,medium
994,1 5 6 7,11.22,88.7,11.53,4.63,medium
920,3 3 6 7,10.19,88.7,10.6,4.55,medium
592,3 3 8 9,7.81,88.7,8.19,3.79,medium
688,2 9 10 11,8.33,88.7,8.3,3.31,medium
812,1 5 10 13,9.13,88.6,9.15,3.43,medium
967,3 3 4 11,10.76,88.6,10.88,5.41,medium
768,2 2 5 6,8.84,88.6,9.16,4.38,medium
421,2 9 9 13,7.02,88.6,7.08,2.5,medium
203,4 7 12 12,6.12,88.5,6.51,2.85,medium
253,2 8 11 11,6.37,88.5,6.55,2.78,medium
809,2 3 4 11,9.11,88.5,9.26,4.08,medium
261,4 5 9 9,6.4,88.4,6.64,2.72,medium
784,1 5 5 9,8.94,88.4,9.09,3.7,medium
732,2 8 11 12,8.58,88.3,8.82,4.18,medium
928,6 9 12 13,10.28,88.3,10.45,4.3,medium
690,4 4 4 9,8.34,88.3,8.43,3.94,medium
675,1 8 11 13,8.22,88.2,8.32,3.55,medium
900,1 3 3 11,10.02,88.2,9.98,4.68,medium
526,8 8 8 12,7.46,88.2,7.86,3.98,medium
762,3 7 10 13,8.82,88.2,9.22,4.63,medium
984,2 3 4 9,11.05,88.2,11.11,4.67,medium
952,1 3 6 11,10.64,88.1,10.57,4.29,medium
1031,3 7 9 11,11.7,88.1,11.82,4.84,medium
412,6 8 8 8,6.99,88.1,7.38,3.47,medium
1049,3 4 8 9,12.07,88.1,12.24,5.03,medium
943,1 2 7 11,10.5,88.1,10.57,4.68,medium
602,4 5 10 11,7.85,88.1,8.28,4.17,medium
774,1 1 3 10,8.86,88.1,8.88,3.86,medium
640,2 2 3 7,8.05,88.1,8.43,3.8,medium
983,6 8 8 12,11.02,88.1,11.31,4.99,medium
373,2 5 5 8,6.88,88.0,7.04,3.06,medium
864,1 5 5 11,9.61,88.0,9.77,4.11,medium
845,2 5 6 10,9.46,88.0,9.51,4.42,medium
826,1 9 11 13,9.26,88.0,9.47,4.01,medium
290,3 7 11 11,6.53,88.0,6.77,3.02,medium
926,7 9 9 13,10.26,88.0,10.34,4.64,medium
482,4 5 5 8,7.28,88.0,7.43,2.93,medium
930,5 6 8 12,10.29,87.9,10.35,4.06,medium
1065,1 4 5 7,12.43,87.9,12.45,5.27,medium
330,5 6 7 7,6.69,87.8,6.86,2.72,medium
906,1 11 11 13,10.06,87.7,10.01,4.25,medium
686,6 8 8 11,8.3,87.7,8.55,3.82,medium
918,1 4 5 13,10.18,87.7,10.29,4.48,medium
510,5 5 10 11,7.39,87.7,7.75,3.46,medium
353,4 7 13 13,6.81,87.7,7.06,2.94,medium
254,4 5 13 13,6.37,87.7,6.61,2.77,medium
991,3 4 8 12,11.17,87.7,11.15,5.42,medium
913,4 6 6 9,10.14,87.6,10.45,5.26,medium
708,1 6 10 13,8.44,87.6,8.63,4.1,medium
878,2 4 5 11,9.82,87.6,10.03,4.69,medium
720,2 2 3 13,8.51,87.6,8.54,3.6,medium
895,5 5 5 9,10.0,87.6,9.76,4.11,medium
1070,4 4 6 10,12.57,87.5,12.6,5.35,medium
839,4 5 7 12,9.4,87.5,9.33,3.91,medium
594,5 6 6 6,7.81,87.5,7.91,3.44,medium
819,4 7 7 11,9.22,87.5,9.49,4.52,medium
874,2 3 9 13,9.79,87.5,10.07,5.28,medium
807,2 2 5 11,9.1,87.4,9.42,4.41,medium
881,6 12 13 13,9.85,87.3,9.92,3.85,medium
794,3 4 7 11,8.99,87.3,9.05,4.58,medium
398,2 9 9 11,6.96,87.3,6.96,2.68,medium
858,4 5 7 11,9.55,87.3,9.77,4.97,medium
717,1 4 6 7,8.5,87.3,8.78,4.49,medium
291,3 7 13 13,6.53,87.3,6.67,2.74,medium
944,4 5 6 8,10.5,87.3,10.41,4.23,medium
876,5 6 9 12,9.79,87.2,9.84,4.27,medium
403,5 6 11 11,6.97,87.2,7.18,3.13,medium
1045,1 3 3 6,11.93,87.2,11.83,5.16,medium
998,2 4 9 12,11.26,87.2,11.26,4.76,medium
840,2 7 9 13,9.41,87.2,9.71,4.77,medium
865,2 4 6 13,9.65,87.2,9.94,4.99,medium
961,2 6 8 13,10.72,87.2,10.87,5.06,medium
883,3 4 8 11,9.88,87.2,9.9,4.84,medium
334,4 5 11 11,6.72,87.2,7.19,3.59,medium
896,5 5 6 11,10.0,87.1,9.97,4.57,medium
995,5 8 10 11,11.22,87.1,10.92,4.73,medium
597,5 8 8 9,7.83,87.0,8.05,3.92,medium
689,4 4 8 11,8.33,87.0,8.32,3.69,medium
977,3 3 9 12,10.97,87.0,10.96,4.84,medium
857,3 3 5 9,9.55,87.0,9.56,3.99,medium
1057,6 9 9 12,12.26,87.0,12.17,5.82,medium
993,2 2 8 9,11.21,87.0,11.42,4.95,medium
936,5 6 8 10,10.35,87.0,10.31,4.38,medium
817,3 7 8 9,9.21,86.9,9.2,3.82,medium
562,5 6 10 10,7.63,86.9,7.99,3.73,medium
907,1 8 10 11,10.07,86.9,10.02,3.39,medium
1006,3 3 6 12,11.36,86.9,11.51,6.01,medium
749,5 5 9 10,8.69,86.9,9.06,4.3,medium
935,5 8 11 12,10.34,86.9,10.5,4.16,medium
355,5 6 13 13,6.81,86.9,6.91,2.69,medium
866,6 7 9 12,9.65,86.8,9.59,4.66,medium
887,3 6 9 11,9.91,86.8,9.87,4.65,medium
873,1 7 9 10,9.78,86.8,9.74,3.86,medium
972,1 2 6 10,10.89,86.8,10.8,4.94,medium
911,4 5 7 9,10.12,86.7,10.41,5.0,medium
394,5 5 10 10,6.94,86.7,7.24,3.12,medium
970,2 3 4 7,10.87,86.7,10.78,4.85,medium
772,4 4 8 13,8.85,86.7,8.78,4.2,medium
947,1 4 4 11,10.51,86.7,10.49,5.21,medium
754,3 9 9 10,8.73,86.7,8.78,3.81,medium
804,5 10 10 12,9.08,86.7,9.06,3.56,medium
1001,3 3 5 12,11.31,86.7,11.38,5.1,medium
468,3 7 7 9,7.22,86.6,7.26,2.95,medium
599,2 7 7 11,7.84,86.6,7.89,3.67,medium
691,6 8 10 13,8.36,86.6,8.43,3.64,medium
1027,6 8 9 12,11.67,86.6,11.68,5.06,medium
449,7 8 8 9,7.13,86.6,7.51,3.69,medium
885,4 6 7 10,9.88,86.5,10.04,4.72,medium
976,1 3 7 10,10.97,86.5,10.9,5.15,medium
753,1 3 8 8,8.72,86.5,8.95,4.51,medium
922,5 6 7 13,10.2,86.4,10.44,5.42,medium
898,3 3 6 13,10.01,86.4,10.24,5.25,medium
882,3 3 6 10,9.87,86.4,9.7,4.17,medium
528,4 7 9 9,7.47,86.4,7.59,3.16,medium
980,2 3 10 12,11.0,86.4,11.17,4.04,medium
886,6 11 11 12,9.89,86.4,9.76,3.92,medium
802,2 10 11 11,9.02,86.4,9.05,3.99,medium
763,4 5 8 8,8.82,86.4,8.8,4.02,medium
707,4 4 6 11,8.42,86.3,8.51,4.42,hard
1135,1 3 5 6,14.49,86.3,14.16,5.91,hard
787,4 4 5 10,8.96,86.3,9.07,4.66,hard
848,2 4 5 9,9.49,86.3,9.52,4.62,hard
849,4 7 11 12,9.49,86.3,9.64,4.7,hard
798,3 6 12 13,9.0,86.3,8.93,4.31,hard
513,3 9 13 13,7.4,86.3,7.56,3.26,hard
800,6 8 11 13,9.0,86.3,9.38,4.5,hard
915,1 5 10 11,10.16,86.3,9.92,3.62,hard
1035,2 3 7 13,11.77,86.3,11.62,5.24,hard
474,4 7 11 11,7.25,86.3,7.35,3.32,hard
942,4 5 10 12,10.45,86.2,10.27,4.29,hard
1025,3 5 7 9,11.66,86.2,11.44,4.86,hard
897,6 8 9 9,10.0,86.2,10.02,4.07,hard
785,1 4 6 9,8.95,86.1,8.81,4.02,hard
806,2 2 3 11,9.1,86.1,9.11,4.12,hard
870,6 6 8 8,9.72,86.0,9.63,4.4,hard
733,4 4 4 11,8.58,86.0,8.81,4.65,hard
1041,4 6 6 12,11.88,86.0,11.56,5.8,hard
767,4 12 12 12,8.83,86.0,9.14,4.72,hard
454,2 7 7 13,7.16,86.0,7.27,3.01,hard
1018,3 7 9 12,11.54,85.9,11.56,5.56,hard
903,2 5 8 11,10.03,85.9,10.22,5.08,hard
508,3 9 11 11,7.38,85.8,7.49,3.24,hard
1037,3 5 6 10,11.83,85.8,11.63,5.59,hard
434,5 5 11 11,7.08,85.8,7.3,3.24,hard
875,3 3 3 5,9.79,85.7,9.46,3.98,hard
889,2 4 12 12,9.95,85.7,9.97,4.7,hard
1032,4 8 8 10,11.71,85.7,11.63,5.51,hard
829,1 1 4 10,9.3,85.6,9.15,5.02,hard
1088,4 8 12 12,12.85,85.6,12.23,5.83,hard
950,1 6 6 6,10.59,85.6,10.17,5.05,hard
651,1 3 12 12,8.1,85.5,8.39,4.52,hard
418,5 5 13 13,7.01,85.5,7.17,3.03,hard
492,5 5 9 9,7.3,85.5,7.59,3.37,hard
1008,1 4 7 7,11.38,85.5,11.25,4.6,hard
1048,2 3 5 13,12.07,85.5,11.88,5.34,hard
1071,4 6 9 13,12.58,85.5,12.59,5.18,hard
1107,3 5 7 8,13.37,85.4,12.95,5.94,hard
1024,1 3 7 12,11.64,85.4,10.98,4.98,hard
545,2 4 4 13,7.53,85.4,7.66,3.38,hard
593,3 6 10 10,7.81,85.3,7.81,3.64,hard
946,1 3 9 9,10.51,85.2,10.11,4.02,hard
1029,1 3 7 7,11.69,85.2,11.44,4.62,hard
517,2 10 10 11,7.42,85.2,7.27,2.92,hard
955,6 7 10 12,10.66,85.2,10.62,4.7,hard
992,2 4 6 11,11.18,85.1,10.98,5.39,hard
647,1 1 7 10,8.08,85.1,8.12,4.24,hard
958,1 7 9 11,10.71,85.1,10.44,4.24,hard
863,4 4 5 7,9.57,85.1,9.27,4.41,hard
1009,4 4 5 11,11.39,85.0,11.3,4.82,hard
575,4 4 4 5,7.71,84.9,7.7,3.66,hard
525,2 6 6 13,7.46,84.9,7.54,3.15,hard
838,3 4 5 9,9.38,84.9,9.17,4.45,hard
